,trial_nb,time,pos,lick,frame,enc,speed,valve
4415,1,13.96,65.29299926757812,0,0,12,34.45688321311925,0
4416,1,13.968,65.40499877929688,0,0,12,34.45688321311925,0
4417,1,13.976,65.40499877929688,0,0,12,34.45688321311925,0
4418,1,13.984,65.51599884033203,0,1,11,31.585476278692646,0
4419,1,13.992,65.62799835205078,0,0,12,34.45688321311925,0
4420,1,14.0,65.73899841308594,0,0,13,37.32829014754586,0
4421,1,14.008,65.85099792480469,0,0,13,37.32829014754586,0
4422,1,14.016,65.96299743652344,0,1,13,37.32829014754586,0
4423,1,14.024,65.96299743652344,0,0,13,37.32829014754586,0
4424,1,14.032,66.08300018310547,0,0,15,43.07110401639906,0
4425,1,14.04,66.2040023803711,0,0,15,43.07110401639906,0
4426,1,14.048,66.34400177001953,0,1,15,43.07110401639906,0
4427,1,14.056,66.48300170898438,0,0,15,43.07110401639906,0
4428,1,14.064,66.48300170898438,0,0,16,45.942510950825664,0
4429,1,14.072,66.62300109863281,0,0,14,40.19969708197245,0
4430,1,14.08,66.62300109863281,0,1,14,40.19969708197245,0
4431,1,14.088,66.88300323486328,0,0,14,40.19969708197245,0
4432,1,14.096,66.88300323486328,0,0,13,37.32829014754586,0
4433,1,14.104,67.14399719238281,0,0,12,34.45688321311925,0
4434,1,14.112,67.14399719238281,0,0,12,34.45688321311925,0
4435,1,14.12,67.26499938964844,0,1,11,31.585476278692646,0
4436,1,14.128,67.26499938964844,0,0,12,34.45688321311925,0
4437,1,14.136,67.3759994506836,0,0,11,31.585476278692646,0
4438,1,14.144,67.48799896240234,0,0,11,31.585476278692646,0
4439,1,14.152,67.58999633789062,0,1,11,31.585476278692646,0
4440,1,14.16,67.69200134277344,0,0,10,28.71406934426604,0
4441,1,14.168,67.78500366210938,0,0,11,31.585476278692646,0
4442,1,14.176,67.78500366210938,0,0,10,28.71406934426604,0
4443,1,14.184,67.87799835205078,0,1,10,28.71406934426604,0
4444,1,14.192,67.97100067138672,0,0,9,25.842662409839438,0
4445,1,14.2,67.97100067138672,0,0,10,28.71406934426604,0
4446,1,14.208,68.06400299072266,0,0,9,25.842662409839438,0
4447,1,14.216,68.25,0,1,10,28.71406934426604,0
4448,1,14.224,68.25,0,0,11,31.585476278692646,0
4449,1,14.232,68.34300231933594,0,0,11,31.585476278692646,0
4450,1,14.24,68.43599700927734,0,0,11,31.585476278692646,0
4451,1,14.248,68.43599700927734,0,1,12,34.45688321311925,0
4452,1,14.256,68.64099884033203,0,0,13,37.32829014754586,0
4453,1,14.264,68.64099884033203,0,0,13,37.32829014754586,0
4454,1,14.272,68.74299621582031,0,0,14,40.19969708197245,0
4455,1,14.28,68.74299621582031,0,1,14,40.19969708197245,0
4456,1,14.288,68.98500061035156,0,0,15,43.07110401639906,0
4457,1,14.296,68.98500061035156,0,0,14,40.19969708197245,0
4458,1,14.304,69.24600219726562,0,0,14,40.19969708197245,0
4459,1,14.312,69.24600219726562,0,0,13,37.32829014754586,0
4460,1,14.32,69.3759994506836,0,1,13,37.32829014754586,0
4461,1,14.328,69.3759994506836,0,0,13,37.32829014754586,0
4462,1,14.336,69.49700164794922,0,0,13,37.32829014754586,0
4463,1,14.344,69.61799621582031,0,0,12,34.45688321311925,0
